run_id,quadrant,quadrant_name,fraction_before_closure
SN103_ToyouraSand_060_g0,0,both-low,0.10738255033557047
SN103_ToyouraSand_060_g0,1,connection-heavy,0.738255033557047
SN103_ToyouraSand_060_g0,2,movement-heavy,0.14093959731543623
SN103_ToyouraSand_060_g0,3,both-high,0.013422818791946308
SN103_ToyouraSand_060_g1,0,both-low,0.09302325581395349
SN103_ToyouraSand_060_g1,1,connection-heavy,0.6976744186046512
SN103_ToyouraSand_060_g1,2,movement-heavy,0.20930232558139536
SN103_ToyouraSand_060_g1,3,both-high,0.0
SN103_ToyouraSand_060_g2,0,both-low,0.012578616352201259
SN103_ToyouraSand_060_g2,1,connection-heavy,0.8364779874213837
SN103_ToyouraSand_060_g2,2,movement-heavy,0.14465408805031446
SN103_ToyouraSand_060_g2,3,both-high,0.006289308176100629
SN103_ToyouraSand_060_g3,0,both-low,0.0
SN103_ToyouraSand_060_g3,1,connection-heavy,0.7603305785123967
SN103_ToyouraSand_060_g3,2,movement-heavy,0.18181818181818182
SN103_ToyouraSand_060_g3,3,both-high,0.05785123966942149
SN103_ToyouraSand_060_g4,0,both-low,0.008264462809917356
SN103_ToyouraSand_060_g4,1,connection-heavy,0.7851239669421488
SN103_ToyouraSand_060_g4,2,movement-heavy,0.1322314049586777
SN103_ToyouraSand_060_g4,3,both-high,0.0743801652892562
SN103_ToyouraSand_060_g5,0,both-low,0.017094017094017096
SN103_ToyouraSand_060_g5,1,connection-heavy,0.7692307692307693
SN103_ToyouraSand_060_g5,2,movement-heavy,0.1282051282051282
SN103_ToyouraSand_060_g5,3,both-high,0.08547008547008547
SN103_ToyouraSand_060_g6,0,both-low,0.0
SN103_ToyouraSand_060_g6,1,connection-heavy,0.8235294117647058
SN103_ToyouraSand_060_g6,2,movement-heavy,0.125
SN103_ToyouraSand_060_g6,3,both-high,0.051470588235294115
SN103_ToyouraSand_060_g7,0,both-low,0.006993006993006993
SN103_ToyouraSand_060_g7,1,connection-heavy,0.8531468531468531
SN103_ToyouraSand_060_g7,2,movement-heavy,0.1258741258741259
SN103_ToyouraSand_060_g7,3,both-high,0.013986013986013986
SN103_ToyouraSand_120_g0,0,both-low,0.08205128205128205
SN103_ToyouraSand_120_g0,1,connection-heavy,0.7128205128205128
SN103_ToyouraSand_120_g0,2,movement-heavy,0.20512820512820512
SN103_ToyouraSand_120_g0,3,both-high,0.0
SN103_ToyouraSand_120_g1,0,both-low,0.04395604395604396
SN103_ToyouraSand_120_g1,1,connection-heavy,0.7582417582417582
SN103_ToyouraSand_120_g1,2,movement-heavy,0.19230769230769232
SN103_ToyouraSand_120_g1,3,both-high,0.005494505494505495
SN103_ToyouraSand_120_g2,0,both-low,0.035
SN103_ToyouraSand_120_g2,1,connection-heavy,0.805
SN103_ToyouraSand_120_g2,2,movement-heavy,0.16
SN103_ToyouraSand_120_g2,3,both-high,0.0
SN103_ToyouraSand_120_g3,0,both-low,0.0
SN103_ToyouraSand_120_g3,1,connection-heavy,0.8226950354609929
SN103_ToyouraSand_120_g3,2,movement-heavy,0.1773049645390071
SN103_ToyouraSand_120_g3,3,both-high,0.0
SN103_ToyouraSand_120_g4,0,both-low,0.0
SN103_ToyouraSand_120_g4,1,connection-heavy,0.8142857142857143
SN103_ToyouraSand_120_g4,2,movement-heavy,0.16428571428571428
SN103_ToyouraSand_120_g4,3,both-high,0.02142857142857143
SN103_ToyouraSand_120_g5,0,both-low,0.005952380952380952
SN103_ToyouraSand_120_g5,1,connection-heavy,0.8392857142857143
SN103_ToyouraSand_120_g5,2,movement-heavy,0.15476190476190477
SN103_ToyouraSand_120_g5,3,both-high,0.0
SN103_ToyouraSand_120_g6,0,both-low,0.010101010101010102
SN103_ToyouraSand_120_g6,1,connection-heavy,0.7777777777777778
SN103_ToyouraSand_120_g6,2,movement-heavy,0.20202020202020202
SN103_ToyouraSand_120_g6,3,both-high,0.010101010101010102
SN103_ToyouraSand_120_g7,0,both-low,0.0
SN103_ToyouraSand_120_g7,1,connection-heavy,0.8503401360544217
SN103_ToyouraSand_120_g7,2,movement-heavy,0.14965986394557823
SN103_ToyouraSand_120_g7,3,both-high,0.0
